cats	comparison	variant_type	files
Sample_SW480_CDDP8W_IGO_10212_G_4	loss	nonsynonymous	PITT_0522/Sample_SW480_CDDP8W_IGO_10212_G_4_vs_Sample_SW480_P8W_IGO_10212_G_2.VEP.ann.AF0.05_BQ20_MQ50.non_synonymous_variant_only.query
Sample_SW480_COMBO8W_IGO_10212_G_5	loss	nonsynonymous	PITT_0522/Sample_SW480_COMBO8W_IGO_10212_G_5_vs_Sample_SW480_P8W_IGO_10212_G_2.VEP.ann.AF0.05_BQ20_MQ50.non_synonymous_variant_only.query
Sample_SW480_P0W_IGO_10212_G_1	loss	nonsynonymous	PITT_0522/Sample_SW480_P0W_IGO_10212_G_1_vs_Sample_SW480_P8W_IGO_10212_G_2.VEP.ann.AF0.05_BQ20_MQ50.non_synonymous_variant_only.query
Sample_SW480_TMZ8W_IGO_10212_G_3	loss	nonsynonymous	PITT_0522/Sample_SW480_TMZ8W_IGO_10212_G_3_vs_Sample_SW480_P8W_IGO_10212_G_2.VEP.ann.AF0.05_BQ20_MQ50.non_synonymous_variant_only.query
Sample_SW480_CDDP8W_IGO_10212_G_4	gain	nonsynonymous	PITT_0522/Sample_SW480_P8W_IGO_10212_G_2_vs_Sample_SW480_CDDP8W_IGO_10212_G_4.VEP.ann.AF0.05_BQ20_MQ50.non_synonymous_variant_only.query
Sample_SW480_COMBO8W_IGO_10212_G_5	gain	nonsynonymous	PITT_0522/Sample_SW480_P8W_IGO_10212_G_2_vs_Sample_SW480_COMBO8W_IGO_10212_G_5.VEP.ann.AF0.05_BQ20_MQ50.non_synonymous_variant_only.query
Sample_SW480_P0W_IGO_10212_G_1	gain	nonsynonymous	PITT_0522/Sample_SW480_P8W_IGO_10212_G_2_vs_Sample_SW480_P0W_IGO_10212_G_1.VEP.ann.AF0.05_BQ20_MQ50.non_synonymous_variant_only.query
Sample_SW480_TMZ8W_IGO_10212_G_3	gain	nonsynonymous	PITT_0522/Sample_SW480_P8W_IGO_10212_G_2_vs_Sample_SW480_TMZ8W_IGO_10212_G_3.VEP.ann.AF0.05_BQ20_MQ50.non_synonymous_variant_only.query
Sample_SW480_CDDP8W_IGO_10212_G_4	total	nonsynonymous	PITT_0522/Sample_SW480_CDDP8W_IGO_10212_G_4/Sample_SW480_CDDP8W_IGO_10212_G_4.aligned.duplicates_marked.recalibrated.targeted_sequencing.somvarius.tumor_only.sorted.rm_dbsnps.VEP.ann.AF0.05_BQ20_MQ50.non_synonymous_variant_only.query
Sample_SW480_COMBO8W_IGO_10212_G_5	total	nonsynonymous	PITT_0522/Sample_SW480_COMBO8W_IGO_10212_G_5/Sample_SW480_COMBO8W_IGO_10212_G_5.aligned.duplicates_marked.recalibrated.targeted_sequencing.somvarius.tumor_only.sorted.rm_dbsnps.VEP.ann.AF0.05_BQ20_MQ50.non_synonymous_variant_only.query
